id,Target_Index,bleu_bestmbr,chrf_bestmbr,comet_bestmbr,eTranslation,HuaweiTSC,JDExploreAcademy,Lan-Bridge,M2M100_1.2B-B4,Online-A,Online-B,Online-G,Online-W,Online-Y,PROMT,QUARTZ_TuneReranking,refA,SRPOL
37,1043,"С тех пор, как она осознала это, она не знала ничего, кроме ношения маски, навязчивого мытья рук и соблюдения дистанции.","С тех пор, как она стала правильно осознавать, она не знала ничего, кроме ношения маски, навязчивого мытья рук и соблюдения дистанции.","С тех пор, как она осознала это, она не знала ничего, кроме ношения маски, навязчивого мытья рук и соблюдения дистанции.","С тех пор, как она правильно осознала, она ничего не знала, кроме ношения маски, навязчивой мытья рук и сохранения вашего расстояния.","С тех пор, как она правильно поняла, она не знала ничего, кроме ношения маски, навязчивого мытья рук и соблюдения дистанции.","С тех пор, как она пришла в себя, она не знает ничего, кроме ношения маски, навязчивого мытья рук и соблюдения дистанции.","С тех пор, как она правильно осознала, она не знала ничего, кроме ношения маски, навязчивого мытья рук и соблюдения дистанции.","С тех пор, как она стала правильно осознавать, она ничего не знала, кроме ношения маски, навязчивого мытья рук и сохранения вашего расстояния.","С тех пор, как она стала правильно осознавать, она не знала ничего, кроме ношения масок, навязчивого мытья рук и соблюдения дистанции.","С тех пор, как она правильно осознала, она не знала ничего, кроме ношения маски, навязчивого мытья рук и соблюдения дистанции.","С тех пор как она осознала это должным образом, она не знала ничего, кроме ношения масок, навязчивого мытья рук и соблюдения дистанции.","С тех пор, как она стала достаточно осведомленной, она не знает ничего, кроме ношения масок, тщательного мытья рук и соблюдения дистанции.","С тех пор, как она стала должным образом осведомлена, она не знала ничего, кроме ношения маски, навязчивого мытья рук и удержания расстояния.","С тех пор, как она правильно осознала, она ничего не знала, кроме ношения маски, навязчивого мытья рук и соблюдения дистанции.","С тех пор, как она осознала это, она не знала ничего, кроме ношения маски, навязчивого мытья рук и соблюдения дистанции.","Когда она начала осознавать себя, она не знала ничего, кроме ношения масок, постоянного мытья рук и поддержания дистанции.","С тех пор, как она правильно осознала, она не знала ничего, кроме ношения маски, навязчивого мытья рук и соблюдения дистанции."
38,266,"Нажмите ""Настройки"".",Нажмите «Настройки».,Нажмите «Настройки».,Нажмите Настройки.,Нажмите Настройки.,Нажмите Настройки.,Нажмите <unk>Настройки<unk>.,Нажмите на настройки.,Нажмите Настройки.,Нажмите «Настройки».,Нажмите Настройки.,Нажмите пункт Настройки.,Нажмите «Настройки».,Нажмите Настройки.,Но здесь многое зависит от компетентности чиновников.,Нажмите «Настройки».,Нажмите Настройки.
39,1169,Ваше лицо скажет вам спасибо позже.,Ваше лицо скажет вам спасибо позже.,Ваше лицо скажет вам спасибо позже.,Ваше лицо будет благодарить вас позже.,Ваше лицо поблагодарит вас позже.,Ваше лицо скажет вам спасибо позже.,Ваше лицо скажет вам спасибо позже.,Ваше лицо поблагодарит вас позже.,Ваше лицо поблагодарит вас позже.,Ваше лицо скажет вам спасибо позже.,Ваше лицо поблагодарит вас позже.,Ваше лицо скажет вам спасибо позже.,Твое лицо скажет тебе спасибо позже.,Ваше лицо поблагодарит вас позже.,Ваше лицо отблагодарит вас позже.,Ваше лицо будет вам благодарно.,Ваше лицо будет благодарить вас позже.
40,901,"Пожалуйста, свяжитесь с нами через сообщения eBay, и член нашей команды свяжется с вами как можно скорее.","Пожалуйста, свяжитесь с нами через сообщения eBay, и член нашей команды свяжется с вами как можно скорее.","Пожалуйста, свяжитесь с нами через сообщения на eBay и один из сотрудников нашей команды свяжется с вами как можно скорее.","Пожалуйста, свяжитесь с нами через сообщения eBay, и член нашей команды свяжется с вами как можно скорее.","Пожалуйста, свяжитесь с нами через сообщения eBay, и член нашей команды вернется к вам как можно скорее.","Пожалуйста, свяжитесь с нами через сообщения eBay, и член нашей команды свяжется с вами как можно скорее.","Пожалуйста, свяжитесь с нами через сообщения eBay, и член нашей команды ответит вам как можно скорее.","Пожалуйста, свяжитесь с нами через eBay сообщения и член нашей команды вернется к вам как можно скорее.","Пожалуйста, свяжитесь с нами через сообщения eBay, и член нашей команды свяжется с вами как можно скорее.","Пожалуйста, свяжитесь с нами через сообщения eBay, и член нашей команды свяжется с вами как можно скорее.","Пожалуйста, свяжитесь с нами через сообщения eBay, и член нашей команды свяжется с вами как можно скорее.","Пожалуйста, свяжитесь с нами через сообщения eBay, и один из членов нашей команды свяжется с вами как можно скорее.","Пожалуйста, свяжитесь с нами через сообщения eBay, и член нашей команды свяжется с вами как можно скорее.","Пожалуйста, свяжитесь с нами с помощью сообщений eBay, и один из членов нашей команды свяжется с вами как можно скорее.","Пожалуйста, свяжитесь с нами по электронной почте, и один из членов нашей команды ответит вам как можно скорее.","Пожалуйста, будьте добры, свяжитесь с нами через сообщения eBay, и представитель нашей команды ответит вам как можно быстрее.","Пожалуйста, свяжитесь с нами через сообщения eBay, и член нашей команды свяжется с вами как можно скорее."
41,858,"когда вы закончите, продолжите эту процедуру","когда вы закончите, пожалуйста, продолжите эту процедуру.","Когда закончите, продолжите эту процедуру","когда вы закончите, пожалуйста, продолжайте эту процедуру","Когда вы закончите, пожалуйста, продолжайте эту процедуру","когда вы закончите, пожалуйста, продолжайте эту процедуру","когда вы закончите, пожалуйста, продолжите эту процедуру","Когда вы закончите, продолжайте эту процедуру.",По завершении продолжите эту процедуру,"когда вы закончите, пожалуйста, продолжите эту процедуру","когда вы закончите, пожалуйста, продолжите эту процедуру","Когда вы закончите, пожалуйста, продолжите эту процедуру.","когда вы закончите, пожалуйста, продолжите эту процедуру","когда вы закончите, пожалуйста, продолжите эту процедуру","Когда вы закончите, пожалуйста, продолжайте эту процедуру","когда закончите, пожалуйста, выполните следующую процедуру","когда вы закончите, пожалуйста, продолжайте эту процедуру"
42,608,Суд над Ахмадом Обри также является примером положительного воздействия.,Судебный процесс над Ахмадом Обри также является примером положительного воздействия.,Судебный процесс над Ахмадом Обри также является примером положительного воздействия.,Судебный процесс над Ахмадом Обри также является примером позитивного воздействия.,Суд над Ахмадом Обри также является примером положительного воздействия.,Суд над Ахмадом Обри также является примером положительного воздействия.,Суд над Ахмадом Обри также является примером положительного воздействия.,Суд над Ахмадом Аубри также является примером положительного влияния.,Суд над Ахмадом Обри также является примером положительного воздействия.,Суд над Ахмадом Обри также является примером положительного воздействия.,Судебный процесс над Ахмадом Обри также является примером положительного воздействия.,Суд над Ахмадом Обри также является примером положительного влияния.,Судебный процесс над Ахмадом Обри также является примером положительного воздействия.,Суд над Ахмадом Обри также является примером положительного воздействия.,Суд над Ахмадом Обри - тоже положительный пример.,Суд по делу Ахмада Арбери — тоже пример положительного влияния.,Судебный процесс над Ахмадом Обри также является примером позитивного воздействия.
43,717,"Мы отменили его назначение, и теперь система ищет нового гонщика.","Мы отменили его назначение, и теперь система ищет нового гонщика.","Мы сняли с него назначение, и сейчас система ищет нового участника.","Мы не назначили его, и система теперь ищет нового гонщика.","Мы не назначили его, и система сейчас ищет нового гонщика.","Мы отстранили его, и система теперь ищет нового гонщика.","Мы отменили его назначение, и теперь система ищет нового гонщика.","Мы его не назначили, и система теперь ищет нового гонщика.","Мы освободили его, и теперь система ищет нового гонщика.","Мы отменили его назначение, и теперь система ищет нового гонщика.","Мы отменили его назначение, и теперь система ищет нового гонщика.","Мы отменили его назначение, и теперь система ищет нового пассажира.","Мы сняли его с должности, и система теперь ищет нового гонщика.","Мы его не назначили, и сейчас система ищет нового гонщика.","Мы сняли его с должности, и сейчас система ищет нового гонщика.","Мы отозвали его, и теперь система ищет нового водителя.","Мы не назначили его, и система теперь ищет нового гонщика."
44,1921,"Изображение Sunday Mirror показывает Джонсона с двумя помощниками, одетыми в мишуру и шляпу Санты, — они не дистанцировались друг от друга в социальном плане и явно участвовали в социальном мероприятии, смешивая домохозяйства.","Изображение Sunday Mirror показывает Джонсона с двумя помощниками, которые были одеты с мишурой и в шляпе Санты, — они не дистанцировались друг от друга в социальном плане и явно участвовали в общественном мероприятии, смешивая домашние хозяйства.","На изображении, предоставленном Sunday Mirror, Джонсон изображен с двумя помощниками в мишуре и в шапке Санты, которые не дистанцируются друг от друга в социальном плане и явно заняты общим делом, одновременно ведя разные хозяйства.","Изображение Sunday Mirror показывает Джонсона с двумя помощниками, которые были одеты в мишуру и шляпу Санта-Клауса - не социально удалены друг от друга и явно участвуют в социальном мероприятии, смешивая домашние хозяйства.","На снимке Sunday Mirror изображен Джонсон с двумя помощниками, одетыми в мишуру и шляпу Санта-Клауса, не дистанцированными друг от друга и явно вовлеченными в общественное мероприятие, смешивая домочадцев.","Изображение Sunday Mirror показывает Джонсона с двумя помощниками, которые были одеты в мишуру и шляпу Санта-Клауса - не социально дистанцировались друг от друга и явно участвовали в социальном мероприятии, смешивая семьи.","Изображение Sunday Mirror показывает Джонсона с двумя помощниками, которые были одеты в мишуру и шапку Санты — не дистанцировались друг от друга в социальном плане и явно участвовали в социальном мероприятии, смешивая домохозяйства.","Изображение Sunday Mirror показывает Джонсона с двумя помощниками, которые были одеты в одеяло и шапку Деда Мороза - не социально удалены друг от друга, и явно участвовали в социальном мероприятии при смешивании домохозяйств.","В Sunday Mirror Джонсон изображен с двумя помощниками, которые были одеты в мишуру и шляпу Санта-Клауса - не социально дистанцированные друг от друга и явно участвующие в социальном мероприятии, смешивая домашние хозяйства.","Изображение Sunday Mirror показывает Джонсона с двумя помощниками, которые были одеты с мишурой и в шапке Санты — не дистанцировались друг от друга в социальном плане и явно участвовали в светском мероприятии, смешивая домашние хозяйства.","На изображении Sunday Mirror изображен Джонсон с двумя помощниками, которые были разодеты в мишуру и шляпу Санта-Клауса - они не были социально дистанцированы друг от друга и явно участвовали в светском мероприятии, смешивая семьи.","На снимке Sunday Mirror Джонсон изображен с двумя помощниками, которые были наряжены мишурой и шапкой Санта-Клауса - они не были социально дистанцированы друг от друга и явно участвовали в светском мероприятии, смешивая домочадцев.","На снимке Sunday Mirror изображен Джонсон с двумя помощниками, которые были одеты в мишуру и шляпу Санты - не социально дистанцированы друг от друга и явно участвовали в светском мероприятии, смешивая семьи.","Изображение Sunday Mirror показывает Джонсона с двумя помощниками, которые были наряжены мишурой и шляпой Санта-Клауса - не социально дистанцированы друг от друга и явно заняты социальным поводом, смешивая домохозяйства.","На снимке, опубликованном в Sunday Mirror, Джонсон изображен с двумя помощниками, одетыми в мишуру и шляпу Санта-Клауса - не далёкими друг от друга в общении, явно занятыми светским событием и одновременно запутанными домашними делами.","На фото в The Sunday Mirror Джонсон изображен с двумя сотрудниками в мишуре и шапке Санты — и они не соблюдают социальную дистанцию между друг другом и очевидно находятся на светском мероприятии, в котором участвуют люди, не проживающие совместно.","Изображение Sunday Mirror показывает Джонсона с двумя помощниками, которые были одеты в мишуру и шляпу Санты - не были социально дистанцированы друг от друга и явно участвовали в общественном мероприятии, смешивая домохозяйства."
45,1815,Это было частью цепочки.,Это было частью цепочки.,Это было частью цепочки.,Он был частью цепи.,Это была часть цепи.,Это было частью цепочки.,Это было частью цепочки.,Это было частью цепи.,Это была часть цепи.,Это было частью цепи.,Это было частью цепочки.,Это была часть сети.,Это было частью цепочки.,Это была часть цепи.,Это была часть цепочки.,Это была часть цепочки.,Это была часть цепи.
46,777,Нажмите Аккаунты.,Нажмите «Учетные записи».,Нажмите «Учетные записи».,Нажмите Учетные записи.,Tap Accounts.,Коснитесь Учетные записи.,Нажмите <unk>Учетные записи<unk>.,Tap счета.,Нажмите Учетные записи.,Нажмите «Учетные записи».,Нажмите Учетные записи.,Нажмите пункт Учетные записи.,Нажмите Учетные записи.,Нажмите Учетные записи.,Тап счета.,Нажмите «Учетные записи».,Нажмите Учетные записи.
47,499,Плакаты отправляются в плотном картонном конверте формата А5.,Плакаты отправляются в плотном картонном конверте формата А5.,Плакаты отправляются в прочных картонных конвертах формата А5.,Плакаты отправляются в прочном картонном конверте формата А5.,Плакаты отправляются в прочном конверте формата А5.,Плакаты присылают в крепком картонном конверте формата А5.,Плакаты отправляются в прочном картонном конверте формата А5.,Плакаты отправляются в прочном картонном конверте A5.,Плакаты отправляются в прочном конверте формата А5 с карточками.,Плакаты отправляются в прочном картонном конверте формата А5.,Плакаты отправляются в прочном картонном конверте формата А5.,Плакаты отправляются в прочном картонном конверте формата А5.,Плакаты отправляются в прочном карточном конверте формата A5.,Постеры рассылаются в прочном кардированном конверте формата А5.,Плакаты присылаются в картонной упаковке формата А5.,Плакаты поставляются в твердом конверте формата A5.,Плакаты отправляются в крепком конверте формата А5.
48,1042,"Моей внучке четыре года, а это значит, что половина ее жизни — половина жизни! — омрачена пандемией.","Моей внучке четыре года, а это значит, что половина ее жизни — половина ее жизни! — была омрачена пандемией.","Моей внучке четыре года, а это значит, что половина ее жизни — полжизни! — прошла под угрозой из-за пандемии.","Моей внучке четыре года, что означает, что половина ее жизни - половина ее жизни! - была омрачена пандемией.","Моей внучке четыре года, а это значит, что полжизни - полжизни! - была испорчена пандемией.","Моей внучке четыре года, что означает, что половина ее жизни - половина ее жизни! - была омрачена пандемией.","Моей внучке четыре года, а это значит, что полжизни — полжизни! — пострадала от пандемии.","Моей внучке четыре года, что означает, что половина ее жизни - половина ее жизни! - была опустошена пандемией.","Моей внучке четыре года, а это значит, что половина ее жизни - половина ее жизни! - был омрачен пандемией.","Моей внучке четыре года, а это значит, что полжизни - полжизни! - пострадала от пандемии.","Моей внучке четыре года, а это значит, что половина ее жизни - половина ее жизни! - был разрушен пандемией.","Моей внучке четыре года, а это значит, что половина ее жизни - половина жизни! - была омрачена пандемией.","Моей внучке четыре года, а это значит, что половина ее жизни - половина жизни! - пострадал от пандемии.","Моей внучке четыре, что означает, что полжизни - полжизни! - был омрачен пандемией.","Моей внучке четыре года, и это означает, что половина ее жизни - половина ее жизни! - была омрачена пандемией.","Моей внучке четыре года, а это значит, что половина ее жизни — половина ее жизни! — была загублена пандемией.","Моей внучке четыре года, что означает, что половина ее жизни - половина ее жизни! - была подорвана пандемией."
49,1739,"Сообщите мне, какая у вас модель #PRS_ORG#.","Пожалуйста, сообщите мне, какая у вас модель #PRS_ORG#.","Сообщите мне, пожалуйста, какая у вас #PRS_ORG# модель","Пожалуйста, дайте мне знать, какова ваша модель «PRS'ORG»","Пожалуйста, дайте мне знать, какова ваша модель #PRS_ORG#","Пожалуйста, дайте мне знать, какая у вас модель #PRS_ORG#","Пожалуйста, дайте мне знать, какая у вас модель #PRS_ORG#","Пожалуйста, дайте мне знать, какая у вас модель #PRS_ORG#","Пожалуйста, дайте мне знать, какова ваша модель #PRS_ORG#","Сообщите мне, какая у вас модель #PRS_ORG#.","Пожалуйста, дайте мне знать, какова ваша модель #PRS_ORG#","Пожалуйста, сообщите мне вашу модель #PRS_ORG#.","Пожалуйста, дайте мне знать, какая у вас модель #PRS_ORG #","Пожалуйста, дайте мне знать, какая у вас модель #PRS_ORG#","Пожалуйста, дайте мне знать, что представляет собой ваша # PRS _ ORG # модель","Сообщите мне, какая у Вас модель #PRS_ORG#","Пожалуйста, дайте мне знать, что ваша модель #PRS_ORG#"
50,75,Нажмите Информация об устройстве.,Нажмите Информация об устройстве.,Нажмите «Информация об устройстве».,Коснитесь Сведения об устройстве.,Нажмите на информацию об устройстве.,Коснитесь Информация об устройстве.,Нажмите Информация об устройстве.,Tap Device информация.,Нажмите Сведения об устройстве.,Нажмите Информация об устройстве.,Коснитесь Информация об устройстве.,Нажмите Информация об устройстве.,Нажмите Информация об устройстве.,Коснитесь Информации об устройстве.,Информация об услуге Tap Device.,Нажмите «Сведения об устройстве».,Нажмите информацию об устройстве.
51,1670,Экспозиция и фокус должны быть отрегулированы вручную.,Экспозицию и фокус должны регулировать вручную.,Экспозицию и фокус можно регулировать вручную.,Экспозиция и фокус должны быть отрегулированы вручную.,Экспозицию и фокус приходится настраивать вручную.,Экспозицию и фокус приходится регулировать вручную.,Экспозиция и фокус должны быть отрегулированы вручную.,Экспозицию и фокус нужно регулировать вручную.,Экспозиция и фокусировка должны быть отрегулированы вручную.,Экспозиция и фокус должны быть отрегулированы вручную.,Экспозицию и фокус необходимо регулировать вручную.,Экспозицию и фокус необходимо настраивать вручную.,Экспозицию и фокусировку необходимо регулировать вручную.,Экспозицию и фокус приходится регулировать вручную.,Настройка экспозиции и фокуса должна осуществляться вручную.,Экспозицию и фокус необходимо настраивать вручную.,Экспозиция и фокус должны быть отрегулированы вручную.
52,793,Коснитесь значка «Еще» в нижней части экрана.,Коснитесь значка «Еще» в нижней части экрана.,Нажмите на значок «Дополнительно» в нижней части экрана.,Нажмите на значок Больше в нижней части экрана.,Нажмите на значок More в нижней части экрана.,"Коснитесь значка ""Еще"" в нижней части экрана.",Коснитесь значка <unk>Еще<unk> в нижней части экрана.,Нажмите на иконку Больше внизу экрана.,Коснитесь значка Дополнительно в нижней части экрана.,Коснитесь значка «Еще» в нижней части экрана.,"Нажмите на значок ""Дополнительно"" в нижней части экрана.","Нажмите значок ""Еще"" в нижней части экрана.",Нажмите значок «Еще» в нижней части экрана.,Коснитесь значка «Дополнительно» в нижней части экрана.,"Нажмите значок ""Больше"" в нижней части экрана.",Нажмите значок «Подробнее» в нижней части экрана.,"Нажмите на значок ""Еще"" в нижней части экрана."
53,1665,"3 отдельных кольца можно использовать отдельно с креплением на корпус камеры и адаптером для объектива, и, конечно, коэффициент увеличения будет другим.","Три отдельных кольца можно использовать отдельно с креплением на корпус камеры и адаптером для объектива, и, конечно же, коэффициент увеличения будет другим.","Три отдельных кольца могут использоваться отдельно с креплением на корпус камеры и адаптером для объектива, при этом коэффициент увеличения, конечно, будет другим.","3 отдельных кольца можно использовать отдельно с креплением корпуса камеры и адаптером объектива, и, конечно, коэффициент увеличения будет отличаться.","Три отдельных кольца могут быть использованы отдельно с креплением корпуса камеры и адаптером объектива, и, конечно, коэффициент увеличения будет другим.","3 отдельных кольца можно использовать отдельно с креплением для корпуса камеры и адаптером объектива, и, конечно, коэффициент увеличения будет разным.","3 отдельных кольца можно использовать отдельно с креплением на корпус камеры и адаптером объектива, и, конечно же, коэффициент увеличения будет другим.","3 отдельных кольца можно использовать отдельно с корпусом камеры и адаптером объектива, и, конечно, соотношение увеличения будет разным.","3 отдельных кольца можно использовать отдельно с креплением для корпуса камеры и адаптером объектива, и, конечно, коэффициент увеличения будет отличаться.","3 отдельных кольца можно использовать отдельно с креплением на корпус камеры и адаптером для объектива, и, конечно же, коэффициент увеличения будет другим.","3 отдельных кольца можно использовать отдельно с креплением на корпусе камеры и адаптером объектива, и, конечно, коэффициент увеличения будет другим.","Три отдельных кольца могут быть использованы отдельно с креплением на корпус камеры и адаптером объектива, и, конечно, кратность увеличения будет разной.","Три отдельных кольца можно использовать отдельно с креплением корпуса камеры и адаптером объектива, и, конечно, коэффициент увеличения будет другим.","3 отдельных кольца можно использовать отдельно с креплением корпуса камеры и адаптером объектива, и, конечно, кратность увеличения будет другой.","Эти три отдельных кольца могут использоваться отдельно с разъемом корпуса камеры и адаптером объектива, и, конечно же, соотношение увеличения будет иным.","Три индивидуальных кольца можно использовать по-отдельности со штативом для камеры и адаптером но, конечно же, радиус увеличения будет различаться.","3 отдельных кольца могут использоваться отдельно с креплением корпуса камеры и адаптером объектива, и, конечно, коэффициент увеличения будет отличаться."
54,1729,"в целях качества мне придется закрыть этот чат, если в ближайшие 2 минуты не будет взаимодействия.","в целях обеспечения качества мне придется закрыть этот чат, если в следующие 2 минуты не будет никакого взаимодействия","мне придётся закрыть этот чат, если в ближайшие 2 минуты не будет никакого взаимодействия","для качественных целей мне придется выпустить этот чат, если нет взаимодействия в течение следующих 2 минут","для целей качества мне придется выпустить этот чат, если не будет взаимодействия в ближайшие 2 минуты","в целях качества я должен буду отпустить этот чат, если не будет никакого взаимодействия в следующие 2 минуты","в целях качества мне придется освободить этот чат, если в следующие 2 минуты не будет взаимодействия","для целей качества я должен будет освободить этот чат, если нет взаимодействия в ближайшие 2 минуты","В целях качества мне придется освободить этот чат, если не будет взаимодействия в ближайшие 2 минуты","в целях качества я должен буду разблокировать этот чат, если в следующие 2 минуты не будет взаимодействия","в целях обеспечения качества мне придется закрыть этот чат, если в ближайшие 2 минуты не будет взаимодействия","в целях обеспечения качества я буду вынужден закрыть этот чат, если в ближайшие 2 минуты не будет взаимодействия.","в целях качества мне придется выпустить этот чат, если в ближайшие 2 минуты не будет взаимодействия","в целях качества мне придется выпустить этот чат, если в ближайшие 2 минут не будет взаимодействия","Для качественного функционирования мне придется выпустить этот чат, если в течение ближайших 2 минут не будет взаимодействия",в целях обеспечения качества я закрою этот диалог при отсутствии взаимодействий в течение следующих 2 минут,"для целей качества я должен буду выпустить этот чат, если нет взаимодействия в ближайшие 2 минуты"
55,206,Ваш купленный товар будет отправлен через Royal Mail или национальной курьерской службой.,Ваш купленный товар будет отправлен Королевской почтой России или национальной курьерской компанией.,Купленный вами товар будет отправлен через Почту Великобритании или через национальную курьерскую компанию.,Ваш купленный товар будет отправлен по почте Royal Mail или национальной курьерской компанией.,Ваш купленный товар будет отправлен через Royal Mail или национальную курьерскую компанию.,Ваш купленный товар будет отправлен через Royal Mail или национальную курьерскую компанию.,Приобретенный товар будет отправлен Королевской почтой или национальной курьерской компанией.,Ваш купленный товар будет отправлен через Royal Mail или национальную курьерскую компанию.,Ваш купленный товар будет отправлен через Королевскую почту или национальную курьерскую компанию.,Ваш купленный товар будет отправлен Почтой России или национальной курьерской службой.,Купленный вами товар будет отправлен через Royal Mail или национальную курьерскую компанию.,Купленный вами товар будет отправлен по почте Royal Mail или национальной курьерской компанией.,Ваш купленный товар будет отправлен через Royal Mail или национальную курьерскую компанию.,Ваш купленный товар будет отправлен через Royal Mail или национальную компанию курьеров.,Купленный билет будет отправлен через Royal Mail или национальную курьерскую компанию.,Ваш Приобретенный Товар будет отправлен компанией Royal Mail или национальной курьерской компанией.,Ваш купленный товар будет отправлен через Royal Mail или национальную курьерскую компанию.
